Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MW048997,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29887,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,4/20/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0193/2020, complete genome"
MW048998,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29895,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/5/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0194/2020, complete genome"
MW048999,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29864,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/7/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0195/2020, complete genome"
MW049000,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29842,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/7/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0196/2020, complete genome"
MW049001,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29660,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/8/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0197/2020, complete genome"
MW049002,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29891,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/8/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0198/2020, complete genome"
MW049003,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/8/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0199/2020, complete genome"
MW049005,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29876,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/8/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0201/2020, complete genome"
MW049006,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,6/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0202/2020, complete genome"
MW049008,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29830,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/15/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0204/2020, complete genome"
MW049009,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/14/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0205/2020, complete genome"
MW049010,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29885,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/16/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0206/2020, complete genome"
MW049011,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29867,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/15/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0207/2020, complete genome"
MW049012,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29829,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/15/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0208/2020, complete genome"
MW049013,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29847,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/16/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0209/2020, complete genome"
MW049014,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29835,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0210/2020, complete genome"
MW049015,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29862,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0211/2020, complete genome"
MW049016,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29867,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0212/2020, complete genome"
MW049017,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29838,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0213/2020, complete genome"
MW049018,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29864,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0214/2020, complete genome"
MW049019,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29888,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0215/2020, complete genome"
MW049020,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29842,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0216/2020, complete genome"
MW049021,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29886,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/18/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0217/2020, complete genome"
MW049022,,2020-09-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29859,GenBank,complete,,,"Keller,E.",,USA: MD,MD,Homo sapiens,oronasopharynx,9/18/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-MDH-0218/2020, complete genome"
