Accession,SRA_Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT679198,,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29878,GenBank,complete,,,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",,USA: NY,NY,Homo sapiens,oronasopharynx,3/17/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYU-VC-008/2020, complete genome"
MT679201,,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29874,GenBank,complete,,,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",,USA: NY,NY,Homo sapiens,oronasopharynx,3/23/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYU-VC-010/2020, complete genome"
MT679202,,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29776,GenBank,complete,,,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",,USA: NY,NY,Homo sapiens,oronasopharynx,3/24/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYU-VC-014/2020, complete genome"
MT679205,,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",,USA: NY,NY,Homo sapiens,oronasopharynx,3/25/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYU-VC-017/2020, complete genome"
MT679206,,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29901,GenBank,complete,,,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",,USA: NY,NY,Homo sapiens,oronasopharynx,3/24/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYU-VC-018/2020, complete genome"
MT679208,,2020-06-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29884,GenBank,complete,,,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",,USA: NY,NY,Homo sapiens,oronasopharynx,4/8/2020,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYU-VC-022/2020, complete genome"
MT646053,SRR12447452,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/14/2020,SAMN15691600,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00113/2020, complete genome"
MT646054,SRR12447450,2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/24/2020,SAMN15691601,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00114/2020, complete genome"
MT646064,"SRR12447402,SRR12447511",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/17/2020,SAMN15691623,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00045/2020, complete genome"
MT646065,"SRR12447401,SRR12447510",2020-06-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",,USA: Maryland,MD,Homo sapiens,oronasopharynx,3/15/2020,SAMN15691624,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-HP00048/2020, complete genome"
